k00	f00	Ankunft_HH	Abfahrt_HH
2110461	3	1	1
2110461	4	1	1
2110461	5	1	1
2110862	1	1	1
2110862	2	1	1
2110862	3	1	1
2110862	4	1	1
2110873	3	1	1
2110873	4	0	1
2111036	1	1	1
2111036	2	1	1
2111313	1	1	1
2111313	2	1	1
2111315	1	0	1
2111462	1	1	1
2111463	1	0	1
2111507	1	1	1
2111507	2	1	1
2111507	3	1	1
2111507	4	1	1
2111508	1	1	1
2111508	2	1	1
2111508	3	1	1
2111508	4	1	1
2111509	1	1	1
2111509	2	1	1
2111509	3	1	1
2111509	4	1	1
2111509	5	1	1
2111509	6	1	1
2111509	7	1	1
2111525	2	0	1
2111544	1	0	1
2111660	5	1	1
2111660	6	0	1
2111711	1	1	1
2111711	2	1	1
2111935	1	1	1
2111935	2	1	1
2112022	1	1	1
2112023	1	1	1
2112023	2	1	1
2112024	1	1	1
2112024	2	1	1
2112024	3	1	1
2112024	4	1	1
2112024	5	1	1
2112024	6	1	1
2112024	7	1	1
2112024	8	1	1
2112024	9	1	1
2112024	10	1	1
2112315	2	1	1
2112315	3	1	1
2112315	4	1	1
2112315	5	1	1
2112315	6	1	1
2112315	7	1	1
2112315	8	1	1
2112315	9	1	1
2112315	10	1	1
2112315	11	1	1
2112315	12	0	1
2112356	1	1	1
2112357	1	0	1
2112359	2	0	1
2112362	2	0	1
2112454	1	1	1
2112454	2	1	1
2112551	1	1	1
2112551	2	1	1
2112551	3	1	1
2112551	4	1	1
2112551	5	1	1
2112562	1	0	1
2112563	1	1	1
2112563	2	1	1
2112618	1	1	1
2112618	2	1	1
2112666	1	0	1
2112674	3	0	1
2112709	2	0	1
2112811	3	1	1
2112811	4	1	1
2112811	5	1	1
2112811	6	0	1
2112818	1	1	1
2112818	2	1	1
2112841	1	0	1
2112845	1	0	1
2112845	3	1	1
2112845	4	1	1
2112845	5	0	1
2112846	1	1	1
2112846	2	1	1
2112945	1	0	1
2112945	3	1	1
2112945	4	1	1
2112945	5	1	1
2112945	6	1	1
2112945	7	1	1
2112945	8	1	1
2112945	9	1	1
2112945	10	1	1
2112945	11	1	1
2112945	12	0	1
2113210	1	1	1
2113210	2	1	1
2113213	1	1	1
2113213	2	1	1
2113308	2	1	1
2113308	3	1	1
2113308	4	1	1
2113308	5	1	1
2113308	6	1	1
2113308	7	1	1
2113308	8	1	1
2113308	9	1	1
2113308	10	1	1
2113308	11	1	1
2113308	12	0	1
2113322	1	1	1
2113322	2	1	1
2113322	3	1	1
2113322	4	1	1
2113322	5	1	1
2113322	6	1	1
2113322	7	1	1
2113322	8	1	1
2113322	9	1	1
2113333	2	1	1
2113333	3	0	1
2113920	2	0	1
2113943	1	0	1
2114002	1	1	1
2114002	2	1	1
2114064	1	1	1
2114072	1	1	1
2114072	2	1	1
